                           |                      2 degrees                                     6 degrees                                  10.5 degrees                                  15.5 degrees                                    20 degrees                                  24.5 degrees                                    30 degrees                                  35.5 degrees                                    41 degrees                                    48 degrees                                    55 degrees                                    60 degrees                                    65 degrees                                  71.5 degrees                                  77.5 degrees                                  83.5 degrees                                    91 degrees                                    99 degrees                                 106.5 degrees                                   114 degrees                                 121.5 degrees                                 128.5 degrees                                   136 degrees                                   145 degrees                                 155.5 degrees                                 165.5 degrees                                   175 degrees                | Angle-integrated DXS
          820           10 |                3.08051               0.218922                2.58685               0.115919                1.35165              0.0567641               0.512068              0.0288517               0.238131              0.0194433               0.189613              0.0140938              0.0738627              0.0073135              0.0366571             0.00523672              0.0137972             0.00275945             0.00402096             0.00121237            0.000442008            0.000442008            0.000626968            0.000626968                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.499586              0.0109071
          830           10 |                2.95604               0.214454                2.35829                0.11068                1.22293              0.0539935               0.479555              0.0279208               0.269882               0.020699               0.153995              0.0127013                0.08038             0.00762933              0.0344127             0.00507388             0.00772645             0.00206498             0.00292434             0.00103391            0.000442008            0.000442008                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.464106              0.0105126
          840           10 |                3.11162               0.220025                 2.5349                0.11475                1.14426               0.052228                0.45192              0.0271044               0.242893              0.0196368               0.139329              0.0120813               0.070242             0.00713199              0.0329165             0.00496236              0.0137972             0.00275945             0.00255879            0.000967133            0.000884017            0.000625094            0.000626968            0.000626968                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.454343              0.0104015
          850           10 |                3.23609               0.224382                2.28037               0.108836                1.08228              0.0507938               0.445418              0.0269087               0.207968              0.0181702               0.166566              0.0132095              0.0658971             0.00690789              0.0246874             0.00429753             0.00772645             0.00206498             0.00255879            0.000967133                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.431006              0.0101308
          860           10 |                3.31388               0.227063                 1.9739               0.101259                1.01553              0.0492025               0.370639              0.0245462               0.196855              0.0176781               0.149804              0.0125273              0.0586557              0.0065173              0.0157102             0.00342824             0.00938212              0.0022755             0.00146217            0.000731084            0.000884017            0.000625094                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.390287             0.00964039
          870           10 |                2.90937               0.212754                2.07779               0.103889                1.05129              0.0500613               0.372265                 0.0246               0.196855              0.0176781               0.124662              0.0114278              0.0506901             0.00605862               0.014214             0.00326091             0.00662267              0.0019118             0.00219325            0.000895391                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.382667             0.00954581
          880           10 |                2.56709               0.199848                1.89598              0.0992402               0.939245              0.0473185               0.315369              0.0226421               0.180979              0.0169503               0.136186              0.0119443              0.0499659             0.00601519              0.0239393             0.00423191             0.00993401             0.00234147             0.00219325            0.000895391                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.354092             0.00918249
          890           10 |                2.69155               0.204635                1.75054              0.0953578               0.851042              0.0450419               0.284482              0.0215048                0.21908              0.0186494                 0.1299              0.0116654              0.0499659             0.00601519              0.0134659             0.00317393             0.00772645             0.00206498             0.00109663            0.000633137                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                0.33528             0.00893524
          900           10 |                 2.3026               0.189273                1.75573              0.0954992               0.760454              0.0425773               0.289359              0.0216884                0.21273              0.0183771               0.117329              0.0110866              0.0492418             0.00597144               0.014214             0.00326091             0.00386323             0.00146016            0.000731084            0.000516954            0.000442008            0.000442008                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.315754             0.00867115
          910           10 |                2.27148               0.187989                 1.5012               0.088306               0.753303              0.0423766               0.256847              0.0204336               0.150816              0.0154734               0.116282               0.011037              0.0477935             0.00588297              0.0119697             0.00299241             0.00607078             0.00183041             0.00109663            0.000633137                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.288369             0.00828661
          920           10 |                2.05367               0.178749                1.38173              0.0847193               0.615038              0.0382906                 0.2666               0.020818               0.198442              0.0177492              0.0984728              0.0101567              0.0318623             0.00480343              0.0104734             0.00279915               0.004967             0.00165567            0.000365542            0.000365542                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.263604              0.0079228
          930           10 |                1.86697               0.170431                1.46484                0.08723               0.648413              0.0393158                 0.2666               0.020818               0.209555              0.0182394               0.102663              0.0103705              0.0470694             0.00583824              0.0112215             0.00289739             0.00331134             0.00135185                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.274796             0.00808924
          940           10 |                1.64916               0.160181                1.23109              0.0799679               0.510148               0.034873               0.253595              0.0203039               0.179392              0.0168758              0.0796163             0.00913262              0.0267933              0.0044048              0.0104734             0.00279915             0.00220756             0.00110378            0.000731084            0.000516954                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.228362             0.00737419
          950           10 |                1.71139               0.163175                1.00253              0.0721639               0.519684              0.0351974               0.216206              0.0187475               0.168279              0.0163447               0.102663              0.0103705              0.0311382             0.00474853             0.00673293             0.00224431             0.00275945             0.00123406            0.000365542            0.000365542                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.218123             0.00720697
          960           10 |                1.64916               0.160181                1.01812              0.0727226               0.455319              0.0329457               0.224334              0.0190966               0.155579              0.0157158              0.0890446             0.00965824              0.0282416             0.00452228             0.00673293             0.00224431             0.00220756             0.00110378                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.206216             0.00700751
          970           10 |                 1.4469               0.150037               0.966172              0.0708432               0.364732              0.0294868               0.227586              0.0192345               0.169867              0.0164216              0.0712357             0.00863859               0.020276             0.00383181             0.00673293             0.00224431             0.00110378            0.000780489            0.000365542            0.000365542                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.187404             0.00668024
          980           10 |                1.35356               0.145116               0.742809              0.0621168               0.390955              0.0305284               0.204827              0.0182474               0.192092              0.0174629              0.0659978             0.00831494              0.0166553             0.00347287             0.00448862             0.00183247             0.00220756             0.00110378                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.175498             0.00646456
          990           10 |                0.90237               0.118487               0.675281              0.0592261               0.333742              0.0282063                0.25197              0.0202387               0.153991              0.0156354              0.0639026             0.00818189              0.0137587             0.00315647             0.00523672              0.0019793             0.00110378            0.000780489                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.159306             0.00615911
         1000           10 |               0.840138               0.114328               0.571392              0.0544801               0.276529              0.0256751               0.208078              0.0183917               0.155579              0.0157158              0.0576171             0.00776909              0.0195519             0.00376276             0.00374052             0.00167281            0.000551889            0.000551889                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.141446             0.00580361
         1010           10 |               0.591208              0.0959066               0.462308              0.0490045               0.214548              0.0226154               0.253595              0.0203039               0.131766              0.0144632              0.0492364             0.00718187              0.0108622              0.0028046             0.00374052             0.00167281            0.000551889            0.000551889                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.124778             0.00545093
         1020           10 |               0.544534               0.092043               0.389585              0.0449854               0.259842              0.0248883               0.212955               0.018606               0.146054              0.0152271              0.0408558             0.00654216             0.00796558             0.00240171            0.000748103            0.000748103                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.117396             0.00528723
         1030           10 |               0.311162               0.069578               0.228557              0.0344562               0.216932              0.0227407               0.248719              0.0201077                0.10954              0.0131871              0.0544743             0.00755423             0.00724144             0.00228994            0.000748103            0.000748103                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.104775             0.00499495
         1040           10 |               0.264488              0.0641477               0.207779              0.0328527                0.19071               0.021322               0.271477              0.0210075              0.0968399              0.0123991              0.0272372             0.00534165              0.0115863             0.00289658                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0969169             0.00480399
         1050           10 |               0.280046              0.0660075               0.145445              0.0274866               0.233619              0.0235991                0.22596              0.0191657              0.0904897              0.0119857              0.0261896             0.00523792             0.00579315             0.00204819            0.000748103            0.000748103                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0890588             0.00460512
         1060           10 |               0.280046              0.0660075               0.275307              0.0378163               0.281297              0.0258955               0.264975              0.0207544              0.0984274              0.0125003              0.0219993             0.00480063             0.00434486             0.00177378                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.105013             0.00500063
         1070           10 |               0.202255              0.0560956               0.176612              0.0302887               0.309903              0.0271803               0.221083              0.0189577              0.0920772              0.0120903              0.0188565             0.00444452             0.00289658             0.00144829                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0935831             0.00472064
         1080           10 |               0.202255              0.0560956                0.24414              0.0356115               0.314671              0.0273886               0.198325              0.0179555              0.0476262             0.00869531              0.0157138             0.00405727             0.00144829             0.00102409                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0859631             0.00452438
         1090           10 |               0.155581              0.0491991               0.311668              0.0402362                0.33851              0.0284071               0.221083              0.0189577              0.0460386             0.00854916              0.0136186             0.00377712             0.00217243             0.00125425                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0935831             0.00472064
         1100           10 |                0.24893              0.0622324               0.296085              0.0392174               0.343277              0.0286064                0.22596              0.0191657              0.0555638               0.009392             0.00314275             0.00181447            0.000724144            0.000724144            0.000748103            0.000748103                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0942975             0.00473863
         1110           10 |               0.311162               0.069578               0.420752              0.0467502               0.421945              0.0317153               0.146305              0.0154219              0.0269882             0.00654559             0.00419033             0.00209517            0.000724144            0.000724144                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0928688             0.00470259
         1120           10 |               0.497859                0.08801               0.451919              0.0484508               0.483926              0.0339649                 0.1333              0.0147205              0.0285757             0.00673536             0.00209517             0.00148151                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.100965             0.00490329
         1130           10 |               0.591208              0.0959066               0.586975               0.055218               0.433864              0.0321602              0.0910342               0.012165              0.0158754             0.00502024             0.00209517             0.00148151            0.000724144            0.000724144                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |              0.0957263             0.00477439
         1140           10 |               0.777905               0.110012               0.820727              0.0652935               0.464855              0.0332889              0.0633988              0.0101519              0.0111128             0.00420023                      0                      0             0.00144829             0.00102409                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.107394               0.005057
         1150           10 |               0.871254               0.116426               0.976561               0.071223               0.414793              0.0314454              0.0568964             0.00961725             0.00635015             0.00317508             0.00104758             0.00104758                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.109061              0.0050961
         1160           10 |                1.26021               0.140023               0.971366              0.0710333               0.352813               0.029001               0.050394             0.00905102             0.00317508             0.00224512             0.00104758             0.00104758            0.000724144            0.000724144            0.000748103            0.000748103                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.107633             0.00506261
